Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-10-28,2.5,2.81,2.5,2.56,11515
2014-10-29,2.4,2.4,2,2.2,4773
2014-10-30,2.2,2.3,2,2.29,3191
2014-10-31,2.29,2.36,2.29,2.36,509
2014-11-03,2.2,2.2,2,2,1102
2014-11-04,2,2,2,2,1598
2014-11-05,1.95,2.15,1.83,2.15,122
2014-11-06,2.1,2.1,2,2,1255
2014-11-07,2,2.15,2,2.1,949
2014-11-12,2.1,2.1,2.08,2.08,2000
2014-11-13,2.05,2.05,1.96,1.96,3000
2014-11-14,2.05,2.1,2.05,2.1,195
2014-11-17,2.08,2.08,2.08,2.08,169
2014-11-18,2.1,2.13,2.1,2.13,1030
2014-11-19,2.1,2.1,2.1,2.1,10
2014-11-20,2.1,2.1,2.1,2.1,10
2014-11-21,2.08,2.08,2.06,2.06,495
2014-11-24,2.06,2.06,2,2,130
2014-11-26,1.95,1.95,1.9,1.9,736
2014-12-01,1.9,1.9,1.9,1.9,10
2014-12-03,1.9,1.9,1.9,1.9,10
2014-12-04,1.9,1.9,1.9,1.9,10
2014-12-05,1.9,1.9,1.9,1.9,20
2014-12-08,1.9,1.9,1.9,1.9,20
2014-12-09,1.9,1.9,1.9,1.9,20
2014-12-10,1.9,1.9,1.9,1.9,30
2014-12-11,1.9,1.9,1.9,1.9,20
2014-12-12,1.9,1.9,1.9,1.9,20
2014-12-15,1.9,1.9,1.9,1.9,10
2014-12-16,1.9,1.9,1.9,1.9,10
2014-12-17,1.8,1.88,1.8,1.88,820
2014-12-18,1.85,1.85,1.85,1.85,10
2014-12-19,1.85,1.85,1.85,1.85,10
2014-12-22,1.9,1.9,1.9,1.9,10
2014-12-23,1.9,1.9,1.9,1.9,20
2014-12-29,1.9,1.9,1.9,1.9,20
2014-12-30,1.9,1.9,1.9,1.9,20
2015-01-05,1.9,1.9,1.8,1.8,30
2015-01-07,1.8,1.8,1.7,1.7,329
2015-01-08,1.7,1.7,1.7,1.7,310
2015-01-09,1.7,1.7,1.7,1.7,100
2015-01-12,1.7,1.7,1.7,1.7,20
2015-01-13,1.7,1.7,1.7,1.7,100
2015-01-14,1.7,1.7,1.7,1.7,8993
2015-01-15,1.7,1.7,1.7,1.7,3122
2015-01-16,1.7,1.7,1.7,1.7,20
2015-01-19,1.7,1.7,1.7,1.7,730
2015-01-20,1.7,1.75,1.7,1.75,200
2015-01-21,1.75,1.8,1.75,1.8,710
2015-01-22,1.8,1.8,1.8,1.8,865
2015-01-23,1.8,1.8,1.76,1.76,6010
2015-01-26,1.75,1.75,1.75,1.75,3000
2015-01-27,1.74,1.74,1.74,1.74,10
2015-01-28,1.74,1.74,1.74,1.74,10
2015-01-29,1.74,1.74,1.74,1.74,20
2015-01-30,1.74,1.74,1.74,1.74,10
2015-02-02,1.79,1.79,1.79,1.79,10
2015-02-03,1.79,1.79,1.7,1.7,1953
2015-02-09,1.7,1.7,1.7,1.7,40
2015-02-10,1.7,1.7,1.7,1.7,3020
2015-02-11,1.7,1.7,1.7,1.7,20
2015-02-12,1.7,1.7,1.66,1.66,2670
2015-02-13,1.66,1.66,1.66,1.66,100
2015-02-16,1.67,1.67,1.67,1.67,100
2015-02-17,1.67,1.67,1.67,1.67,2990
2015-02-18,1.67,1.67,1.67,1.67,15
2015-02-19,1.66,1.66,1.66,1.66,250
2015-02-24,1.65,1.65,1.65,1.65,1818
2015-02-26,1.6,1.6,1.53,1.59,602
2015-03-02,1.69,1.69,1.69,1.69,630
2015-03-03,1.78,1.8,1.78,1.8,560
2015-03-04,1.8,1.8,1.69,1.69,727
2015-03-05,1.7,1.7,1.6,1.6,420
2015-03-09,1.62,1.62,1.62,1.62,390
2015-03-10,1.62,1.62,1.62,1.62,10
2015-03-12,1.65,1.7,1.65,1.7,1243
2015-03-13,1.7,1.7,1.7,1.7,20
2015-03-16,1.7,1.7,1.7,1.7,20
2015-03-17,1.7,1.7,1.4,1.4,1270
2015-03-19,1.45,1.7,1.45,1.7,2631
2015-03-20,1.7,1.7,1.7,1.7,124
2015-03-26,1.79,1.8,1.79,1.8,130
2015-03-27,1.8,1.8,1.8,1.8,10
2015-03-30,1.8,1.8,1.8,1.8,10
2015-03-31,1.8,1.8,1.8,1.8,3610
2015-04-01,1.8,1.8,1.8,1.8,1129
2015-04-02,1.8,1.8,1.8,1.8,10
2015-04-07,1.8,1.8,1.8,1.8,90
2015-04-08,1.8,1.8,1.8,1.8,10
2015-04-09,1.8,1.8,1.45,1.5,7960
2015-04-10,1.52,1.8,1.52,1.8,1562
2015-04-13,1.9,1.95,1.9,1.94,244
2015-04-14,1.95,1.95,1.95,1.95,10
2015-04-15,1.95,1.95,1.95,1.95,20
2015-04-16,1.95,1.95,1.95,1.95,10
2015-04-17,1.95,1.95,1.95,1.95,10
2015-04-20,1.95,1.95,1.95,1.95,10
2015-04-21,1.95,1.95,1.8,1.8,610
2015-04-27,1.8,1.8,1.75,1.75,950
2015-05-04,1.75,1.75,1.75,1.75,10
2015-05-05,1.75,1.75,1.75,1.75,20
2015-05-06,1.75,1.75,1.75,1.75,20
2015-05-07,1.75,1.75,1.75,1.75,20
2015-05-08,1.75,1.75,1.75,1.75,20
2015-05-11,1.75,1.75,1.75,1.75,20
2015-05-12,1.75,1.75,1.7,1.7,70
2015-05-13,1.7,1.7,1.7,1.7,20
2015-05-14,1.7,1.7,1.7,1.7,20
2015-05-15,1.65,1.65,1.38,1.65,1394
2015-05-18,1.6,1.6,1.28,1.6,1662
2015-05-20,1.6,1.6,1.6,1.6,10
2015-05-21,1.6,1.6,1.6,1.6,20
2015-05-22,1.6,1.6,1.6,1.6,20
2015-05-25,1.6,1.6,1.6,1.6,20
2015-05-26,1.6,1.6,1.6,1.6,520
2015-05-27,1.6,1.6,1.6,1.6,20
2015-05-28,1.6,1.6,1.6,1.6,20
2015-05-29,1.6,1.6,1.6,1.6,20
2015-06-01,1.6,1.6,1.6,1.6,660
2015-06-02,1.6,1.6,1.6,1.6,20
2015-06-03,1.6,1.6,1.6,1.6,20
2015-06-05,1.6,1.6,1.6,1.6,20
2015-06-08,1.6,1.6,1.6,1.6,20
2015-06-09,1.6,1.6,1.6,1.6,20
2015-06-10,1.6,1.6,1.6,1.6,20
2015-06-11,1.6,1.6,1.6,1.6,20
2015-06-12,1.6,1.6,1.6,1.6,35
2015-06-15,1.6,1.6,1.6,1.6,20
2015-06-16,1.29,1.39,1.2,1.2,1728
2015-06-17,1.39,1.4,1.39,1.4,70
2015-06-18,1.24,1.35,1.24,1.35,684
2015-06-19,1.35,1.36,1.35,1.36,700
2015-06-25,1.36,1.36,1.36,1.36,9
2015-06-26,1.3,1.3,1.3,1.3,20
2015-06-29,1.3,1.3,1.3,1.3,21
2015-06-30,1.3,1.3,1.3,1.3,20
2015-07-01,1.3,1.3,1.3,1.3,20
2015-07-02,1.3,1.3,1.3,1.3,29
2015-07-03,1.3,1.3,1.3,1.3,20
2015-07-06,1.33,1.42,1.33,1.42,1741
2015-07-07,1.42,1.7,1.42,1.7,3333
2015-07-08,1.72,1.82,1.72,1.82,70
2015-07-09,1.9,2.28,1.9,2.2,3558
2015-07-10,2.18,2.32,1.9,1.9,3970
2015-07-13,1.9,2.25,1.7,1.7,3185
2015-07-14,2,2.3,1.91,2.14,1213
2015-07-15,2.12,2.12,2,2,30
2015-07-16,1.83,2.06,1.83,2.06,1055
2015-07-17,2.08,2.08,2,2,170
2015-07-20,1.93,1.93,1.64,1.64,700
2015-07-21,1.65,1.78,1.65,1.78,175
2015-07-22,1.8,1.95,1.8,1.95,640
2015-07-30,1.83,1.83,1.83,1.83,100
2015-08-03,1.83,1.83,1.82,1.82,100
2015-08-05,1.94,1.94,1.94,1.94,10
2015-08-07,1.93,1.93,1.93,1.93,15
2015-08-11,1.8,1.8,1.8,1.8,120
2015-08-12,1.78,1.78,1.67,1.75,624
2015-08-26,1.67,1.67,1.67,1.67,640
2015-08-27,1.67,1.75,1.67,1.75,27
2015-08-28,1.75,1.75,1.75,1.75,10
2015-09-10,1.75,1.8,1.75,1.8,112
2015-09-14,1.8,1.8,1.8,1.8,10
2015-09-18,1.8,1.8,1.8,1.8,20
2015-09-21,1.8,1.8,1.8,1.8,20
2015-09-22,1.8,1.8,1.8,1.8,10
2015-09-23,1.8,1.8,1.8,1.8,130
2015-09-24,1.8,1.8,1.8,1.8,20
2015-09-25,1.8,1.8,1.8,1.8,20
2015-09-28,1.8,1.8,1.8,1.8,20
2015-09-29,1.8,1.8,1.8,1.8,10
2015-09-30,1.8,1.8,1.8,1.8,10
2015-10-01,1.8,1.8,1.8,1.8,20
2015-10-02,1.8,1.8,1.8,1.8,20
2015-10-05,1.8,1.8,1.8,1.8,20
2015-10-06,1.8,1.8,1.8,1.8,20
2015-10-07,1.8,1.8,1.8,1.8,20
2015-10-08,1.8,1.8,1.8,1.8,20
2015-10-09,1.8,1.8,1.8,1.8,20
2015-10-12,1.8,1.8,1.8,1.8,20
2015-10-13,1.8,1.8,1.8,1.8,20
2015-10-14,1.8,1.8,1.8,1.8,20
2015-10-15,1.8,1.8,1.8,1.8,20
2015-10-16,1.8,1.8,1.8,1.8,20
2015-10-21,1.73,1.8,1.71,1.8,120
2015-10-22,1.8,1.9,1.8,1.9,660
2015-10-23,1.9,1.9,1.9,1.9,10
2015-10-26,1.9,1.9,1.9,1.9,20
2015-10-27,1.9,1.9,1.9,1.9,20
2015-10-28,1.9,1.9,1.9,1.9,20
2015-10-29,1.9,1.9,1.9,1.9,20
2015-10-30,1.9,1.9,1.9,1.9,20
2015-11-04,1.9,1.9,1.9,1.9,20
2015-11-05,1.9,1.9,1.9,1.9,20
2015-11-06,1.9,1.9,1.9,1.9,20
2015-11-09,1.9,1.9,1.9,1.9,20
2015-11-10,1.9,1.9,1.9,1.9,20
2015-11-12,1.9,1.9,1.9,1.9,20
2015-11-13,1.9,1.9,1.9,1.9,20
2015-11-16,1.74,1.74,1.74,1.74,114
2015-11-17,1.8,1.8,1.8,1.8,10
2015-11-23,1.83,1.83,1.83,1.83,22
