Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-07-27,0.27365,0.32839,0.27365,0.32839,133983
2012-07-30,0.3938,0.47241,0.3938,0.47241,36541
2012-07-31,0.5763,0.6798,0.5763,0.6798,56841
2012-08-01,0.7879,0.8209,0.7879,0.8209,12180
2012-08-02,0.9851,1.1822,0.9851,1.1822,36541
2012-08-03,1.2315,1.3682,1.2315,1.368,12180
2012-08-07,1.367,1.367,1.367,1.367,4060
2012-08-08,1.6404,1.6404,1.6404,1.6404,4060
2012-08-09,1.9684,2.3621,1.9684,2.3621,12180
2012-08-10,2.2167,2.463,2.2167,2.2167,12180
2012-08-23,2.4627,2.4627,2.4627,2.4627,4060
2012-08-24,2.3399,2.3399,2.3399,2.3399,4060
2012-08-31,2.4623,2.4623,2.4623,2.4623,4060
2012-09-03,2.463,2.463,2.463,2.463,16241
2012-09-05,2.3399,2.3399,2.3399,2.3399,4060
2012-09-13,2.463,2.5862,2.463,2.5862,36541
2012-09-14,2.7093,2.7093,2.709,2.709,8120
2012-09-26,3.2266,3.2266,3.2266,3.2266,4060
2012-09-27,3.2266,3.2266,3.2266,3.2266,4060
2012-10-02,3.8669,3.8669,3.8669,3.8669,4060
2013-03-08,1.43,1.54,1.2354,1.54,174579
2013-03-11,1.5231,1.5569,1.2438,1.54,74366
2013-03-12,1.4385,2.2085,1.4385,1.6162,112907
2013-03-13,1.6838,1.8108,1.4892,1.7092,51810
2013-03-14,1.9038,1.98,1.5823,1.8192,13609
2013-03-15,1.7938,2.6146,1.7938,1.8954,165882
2013-03-18,2.0392,2.0392,1.54,1.8615,69302
2013-03-19,1.7008,1.76,1.5738,1.6923,24137
2013-03-20,1.5908,1.7431,1.5062,1.6754,39980
2013-03-21,1.5569,1.6246,1.4977,1.5992,9238
2013-03-22,1.5146,1.5485,1.4385,1.5315,26148
2013-03-25,1.4469,1.5231,1.3538,1.4385,16430
2013-03-26,1.5315,1.54,1.32,1.3623,10378
2013-03-27,1.3538,1.54,1.2862,1.5315,3573
2013-03-28,1.3877,1.5315,1.2777,1.5315,4250
2013-04-02,1.4723,1.4723,1.2777,1.3538,10102
2013-04-03,1.2946,1.43,1.2946,1.43,618
2013-04-04,1.43,1.43,1.43,1.43,139
2013-04-08,1.2862,1.4046,1.1592,1.4046,15966
2013-04-09,1.21,1.21,1.21,1.21,4
2013-04-10,1.3369,1.54,1.2946,1.54,4112
2013-04-11,1.3792,1.4977,1.3708,1.4977,2022
2013-04-12,1.3115,1.4385,1.21,1.4215,3427
2013-04-15,1.2015,1.2608,1.2015,1.2608,85
2013-04-17,1.3454,1.4215,1.2438,1.2438,3621
2013-04-18,1.4215,1.5315,1.3962,1.5146,2912
2013-04-19,1.3538,1.5146,1.3538,1.5146,226
2013-04-22,1.3538,1.4723,1.2862,1.4723,1891
2013-04-25,1.2777,1.43,1.2777,1.43,473
2013-04-26,1.3623,1.43,1.3538,1.43,1513
2013-04-30,1.2692,1.3877,1.2692,1.3877,461
2013-05-06,1.4131,1.7262,1.4131,1.7262,18759
2013-05-07,1.6923,1.6923,1.4215,1.4215,1148
2013-05-08,1.4385,1.4808,1.2862,1.4808,1974
2013-05-14,1.3031,1.4385,1.2862,1.43,2198
2013-05-15,1.2946,1.4469,1.2946,1.4385,1359
2013-05-16,1.4385,1.4385,1.4385,1.4385,100
2013-05-17,1.4385,1.6246,1.4385,1.6246,2002
2013-05-20,1.5992,1.6162,1.4977,1.6162,1364
2013-05-21,1.4977,1.6077,1.3538,1.6077,567
2013-05-22,1.4385,1.6077,1.2692,1.4469,8065
2013-05-23,1.5062,1.5908,1.5062,1.5908,473
2013-05-24,1.4638,1.4638,1.43,1.43,1604
2013-05-27,1.5654,1.6077,1.43,1.5569,6814
2013-05-28,1.4554,1.5569,1.4554,1.5569,709
2013-05-29,1.4554,1.5485,1.43,1.5485,6767
2013-05-31,1.4215,1.4215,1.4215,1.4215,908
2013-06-03,1.3538,1.54,1.2946,1.5231,4006
2013-06-04,1.3285,1.3285,1.3285,1.3285,591
2013-06-05,1.5231,1.5992,1.3538,1.5823,2411
2013-06-06,1.3623,1.6077,1.3623,1.6077,6662
2013-06-10,1.4469,1.4469,1.4469,1.4469,162
2013-06-11,1.4554,1.4554,1.4554,1.4554,177
2013-06-12,1.4723,1.4723,1.4638,1.4638,1491
2013-06-13,1.4638,1.4638,1.4638,1.4638,473
2013-06-17,1.4638,1.4638,1.4638,1.4638,852
2013-06-21,1.4385,1.5908,1.3623,1.5908,4236
2013-06-25,1.4385,1.4385,1.4385,1.4385,51
2013-06-27,1.4385,1.5908,1.3623,1.5908,8559
