Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2012-10-25,7.6,7.6,6.09,6.09,11609
2012-10-26,6.05,6.05,5.25,5.64,2309
2012-10-29,5.5,5.5,5,5.43,562
2012-10-30,5.34,5.34,4.9,4.9,400
2012-10-31,5.15,5.15,4.75,4.99,1930
2012-11-02,4.95,4.95,4.95,4.95,5
2012-11-05,4.93,4.93,4.9,4.9,200
2012-11-06,4.89,4.89,4.85,4.85,15
2012-11-07,4.85,4.85,4.75,4.75,20
2012-11-08,4.7,4.7,4.7,4.7,5
2012-11-09,4.7,4.72,4.69,4.72,230
2012-11-12,4.8,5,4.8,5,40
2012-11-13,5,5,4.95,4.95,30
2012-11-15,4.9,4.9,4.35,4.49,700
2012-11-19,4.49,4.49,4.49,4.49,10
2012-11-20,4.49,4.49,4.49,4.49,10
2012-11-21,4.4,4.58,4.4,4.58,810
2012-11-22,4.5,4.5,4.5,4.5,10
2012-11-23,4.56,4.59,4.56,4.56,665
2012-11-26,4.56,4.56,4.56,4.56,10
2012-11-27,4.55,5,4.55,4.66,1376
2012-11-28,4.7,4.7,4.39,4.39,341
2012-12-04,4.4,4.5,4.4,4.5,550
2012-12-05,4.49,4.49,4.49,4.49,5
2012-12-06,4.49,4.49,4.19,4.19,365
2012-12-07,4.16,4.25,4.1,4.25,36
2012-12-10,4.1,4.1,3.97,3.97,250
2012-12-12,4,4,3.87,3.87,300
2012-12-18,3.9,3.9,3.9,3.9,30
2012-12-20,3.87,3.87,3.7,3.7,1583
2012-12-21,3.7,3.7,3.7,3.7,12
2012-12-27,3.65,3.65,3.65,3.65,290
2012-12-28,3.65,4,3.65,3.81,420
2013-01-02,3.81,3.91,3.81,3.91,350
2013-01-03,3.91,3.91,3.91,3.91,20
2013-01-04,3.91,4.06,3.91,4.06,40
2013-01-08,4.11,4.28,4.11,4.28,50
2013-01-11,4.15,4.15,4.05,4.05,20
2013-01-16,3.98,3.98,3.98,3.98,100
2013-01-17,3.98,3.98,3.98,3.98,10
2013-01-21,4.06,4.06,4.06,4.06,10
2013-01-22,4.04,4.04,4.04,4.04,10
2013-01-23,4.04,4.04,4.04,4.04,5
2013-01-24,4.04,4.04,3.99,3.99,15
2013-01-30,4,4,4,4,10
2013-01-31,4.04,4.04,4.04,4.04,10
2013-02-01,4.03,4.03,4.03,4.03,10
2013-02-04,4.01,4.01,4.01,4.01,5
2013-02-05,4.01,4.01,4.01,4.01,5
2013-02-06,4.01,4.01,4.01,4.01,5
2013-02-07,4.01,4.01,4.01,4.01,5
2013-02-08,4.02,4.02,4.02,4.02,5
2013-02-11,4.02,4.02,4.02,4.02,5
2013-02-12,4.02,4.02,4.01,4.01,10
2013-02-13,4.01,4.01,4.01,4.01,5
2013-02-14,4.01,4.01,4.01,4.01,5
2013-02-15,4.01,4.01,4.01,4.01,10
2013-02-18,4,4,4,4,10
2013-02-19,4,4,4,4,5
2013-02-20,4,4,4,4,3
2013-02-21,4,4,4,4,5
2013-02-22,4,4,4,4,5
2013-02-25,4,4,4,4,5
2013-02-26,4,4,4,4,5
2013-02-27,4,4,4,4,5
2013-02-28,4,4,4,4,5
2013-03-01,4,4,4,4,5
2013-03-04,4,4,4,4,5
2013-03-05,4,4,4,4,5
2013-03-06,4,4,4,4,5
2013-03-07,4,4,3.93,3.93,20
2013-03-08,3.94,3.94,3.5,3.6,810
2013-03-11,3.6,3.6,3.6,3.6,400
2013-03-22,3.58,3.58,3.58,3.58,222
2013-04-02,3.59,3.59,3.59,3.59,100
2013-04-03,3.6,3.6,3.6,3.6,10
2013-04-04,3.6,3.6,3.6,3.6,10
2013-04-05,3.6,3.6,3.6,3.6,10
2013-04-08,3.6,3.6,3.6,3.6,10
2013-04-09,3.6,3.6,3.6,3.6,10
2013-04-10,3.6,3.6,3.6,3.6,10
2013-04-11,3.6,3.6,3.6,3.6,10
2013-04-12,3.6,3.6,3.6,3.6,10
2013-04-15,3.59,3.6,3.59,3.6,60
2013-04-17,3.6,3.6,3.6,3.6,10
2013-04-18,3.6,3.6,3.6,3.6,10
2013-04-19,3.6,3.6,3.6,3.6,10
2013-04-22,3.6,3.6,3.59,3.6,140
2013-04-23,3.6,3.6,3.6,3.6,25
2013-04-24,3.6,3.6,3.6,3.6,15
2013-04-25,3.6,3.6,3.6,3.6,15
2013-04-26,3.6,3.6,3.6,3.6,10
2013-04-29,3.6,3.6,3.6,3.6,15
2013-04-30,3.6,3.6,3.6,3.6,10
2013-05-02,3.6,3.6,3.6,3.6,10
2013-05-06,3.6,3.6,3.6,3.6,5
2013-05-07,3.6,3.6,3.6,3.6,10
2013-05-08,3.4,3.4,3.35,3.35,160
2013-05-09,3.4,3.6,3.4,3.6,310
2013-05-10,3.55,3.6,3.44,3.6,214
2013-05-13,3.6,3.6,3.6,3.6,5
2013-05-14,3.6,3.6,3.6,3.6,23
2013-05-15,3.65,3.65,3.65,3.65,10
2013-05-16,3.7,3.7,3.5,3.5,210
2013-05-22,3.6,3.6,3.6,3.6,10
2013-05-23,3.6,3.6,3.6,3.6,10
2013-05-24,3.6,3.6,3.6,3.6,10
2013-05-27,3.6,3.6,3.6,3.6,10
2013-05-28,3.6,3.6,3.6,3.6,10
2013-05-29,3.6,3.6,3.6,3.6,10
2013-05-31,3.6,3.6,3.6,3.6,10
2013-06-04,3.6,3.6,3.6,3.6,10
2013-06-05,3.6,3.6,3.6,3.6,10
2013-06-06,3.6,3.6,3.6,3.6,15
2013-06-07,3.6,3.6,3.6,3.6,10
2013-06-10,3.6,4.1,3.6,3.6,1425
2013-06-12,3.61,3.61,3.61,3.61,1
2013-06-13,3.7,3.7,3.54,3.54,290
2013-06-17,3.54,3.7,3.54,3.7,22
2013-06-18,3.7,3.7,3.7,3.7,10
2013-06-19,3.75,3.75,3.75,3.75,5
2013-06-20,3.75,3.75,3.75,3.75,5
2013-06-21,3.8,3.8,3.79,3.8,180
2013-06-24,3.85,3.85,3.85,3.85,10
2013-06-25,3.9,3.9,3.9,3.9,10
2013-06-26,3.85,3.85,3.8,3.8,15
2013-06-28,3.9,3.9,3.8,3.8,130
2013-07-02,3.85,3.85,3.85,3.85,15
2013-07-03,3.9,3.9,3.9,3.9,10
2013-07-04,3.9,3.9,3.9,3.9,72
2013-07-05,3.95,3.95,3.95,3.95,25
2013-07-09,4,4,4,4,5
2013-07-11,4,4,4,4,5
2013-07-12,4,4,4,4,5
2013-07-15,4,4,4,4,5
2013-07-16,4,4,4,4,20
2013-07-17,4,4.05,4,4.05,36
2013-07-18,4.05,4.05,4.05,4.05,5
2013-07-22,4.05,4.05,4.05,4.05,5
2013-07-23,4.05,4.05,4.05,4.05,5
2013-07-24,4.05,4.05,3.5,3.5,600
2013-08-05,3.55,3.66,3.46,3.46,540
2013-08-07,3.44,3.56,3.39,3.56,101
2013-08-09,3.58,3.58,3.58,3.58,11
2013-08-13,3.6,3.6,3.6,3.6,5
2013-08-14,3.6,3.6,3.6,3.6,5
2013-08-19,3.6,3.6,3.6,3.6,1
2013-08-23,3.65,3.65,3.65,3.65,5
2013-08-26,3.56,3.56,3.38,3.38,31
2013-08-27,3.4,3.45,3.4,3.45,15
2013-08-28,3.52,3.52,3.52,3.52,5
2013-08-29,3.55,3.55,3.35,3.35,79
2013-09-06,3.35,3.35,3.35,3.35,10
2013-09-30,3.4,3.4,3.4,3.4,5
2013-10-01,3.4,3.4,3.4,3.4,5
2013-10-02,3.4,3.4,3.4,3.4,5
2013-10-03,3.4,3.4,3.4,3.4,5
2013-10-04,3.4,3.4,3.4,3.4,5
2013-10-07,3.4,3.4,3.4,3.4,5
2013-10-08,3.4,3.4,3.4,3.4,5
2013-10-09,3.4,3.4,3.4,3.4,5
2013-10-10,3.4,3.4,3.4,3.4,5
2013-10-11,3.4,3.4,3.4,3.4,5
2013-10-14,3.4,3.4,3.4,3.4,5
2013-10-15,3.4,3.4,3.4,3.4,5
2013-10-16,3.4,3.4,3.4,3.4,5
2013-10-17,3.4,3.4,3.4,3.4,5
2013-10-18,3.4,3.4,3.4,3.4,5
2013-10-21,3.4,3.4,3.4,3.4,5
2013-10-22,3.4,3.4,3.4,3.4,5
2013-10-23,3.4,3.4,3.4,3.4,5
2013-10-24,3.4,3.4,3.4,3.4,5
2013-10-25,3.4,3.4,3.4,3.4,5
2013-10-28,3.4,3.4,3.4,3.4,5
2013-10-29,3.4,3.4,3.4,3.4,10
2013-10-30,3.4,3.4,3.4,3.4,5
2013-10-31,3.4,3.4,3.4,3.4,5
2013-11-04,3.4,3.4,3.4,3.4,5
2013-11-05,3.4,3.4,3.4,3.4,5
2013-11-06,3.4,3.4,3.4,3.4,5
2013-11-07,3.4,3.4,3.4,3.4,5
2013-11-08,3.4,3.4,3.4,3.4,5
2013-11-12,3.4,3.45,3.4,3.45,10
2013-11-14,3.45,3.45,3.45,3.45,5
2013-11-15,3.45,3.45,3.45,3.45,5
2013-11-18,3.44,3.44,3.44,3.44,5
2013-11-19,3.4,3.4,3.4,3.4,5
2013-11-20,3.4,3.4,3.4,3.4,5
2013-11-21,3.38,3.38,3.38,3.38,5
2013-11-22,3.38,3.38,3.38,3.38,5
2013-11-25,3.38,3.38,3.38,3.38,5
2013-11-26,3.37,3.37,3.37,3.37,5
2013-11-27,3.36,3.36,3.36,3.36,5
2013-11-28,3.36,3.36,2.69,2.69,1247
2013-11-29,2.76,2.76,2.21,2.22,835
2013-12-02,2.21,2.21,1.77,1.77,1230
2013-12-03,2,2,1.63,1.63,865
2013-12-04,1.65,1.65,1.39,1.45,1355
2013-12-05,1.5,1.6,1.5,1.6,175
2013-12-09,1.6,1.69,1.6,1.69,120
2013-12-10,1.72,1.74,1.72,1.74,25
2013-12-11,1.73,1.74,1.73,1.74,1000
2013-12-17,1.75,1.75,1.75,1.75,15
2013-12-18,1.8,1.8,1.8,1.8,10
2013-12-19,1.75,1.85,1.75,1.85,85
2014-01-08,1.88,1.95,1.87,1.95,1025
2014-01-09,2,2,2,2,5
2014-01-10,2.05,2.05,2.05,2.05,5
2014-01-15,2.05,2.05,2.05,2.05,15
2014-01-16,2.05,2.05,2.05,2.05,5
2014-01-20,2.05,2.05,2,2,15
2014-01-21,2.04,2.04,2.04,2.04,10
2014-01-22,2.04,2.04,2.04,2.04,5
2014-01-23,2.04,2.04,2.04,2.04,5
2014-01-24,2.04,2.04,2.04,2.04,5
2014-01-27,2.04,2.04,1.98,1.98,15
2014-01-28,2.05,2.05,2.05,2.05,5
2014-01-29,2.05,2.05,2.05,2.05,5
2014-01-30,2.05,2.05,2.05,2.05,5
2014-01-31,2.05,2.05,2.05,2.05,5
2014-02-03,2.02,2.02,2.02,2.02,5
2014-02-04,2.02,2.02,2.02,2.02,5
2014-02-05,2,2,2,2,5
2014-02-06,2,2,2,2,5
2014-02-07,2,2,2,2,5
2014-02-10,2,2,2,2,5
2014-02-11,2,2,2,2,5
2014-02-12,2.02,2.02,2.02,2.02,5
2014-02-13,2.05,2.05,2.05,2.05,5
2014-02-14,2.1,2.1,2.1,2.1,5
2014-02-17,2.05,2.05,2.05,2.05,5
2014-02-18,2.05,2.05,2.05,2.05,5
2014-02-19,2.05,2.05,2.05,2.05,5
2014-02-20,2.05,2.05,2.05,2.05,5
2014-02-21,2.05,2.05,2.05,2.05,5
2014-02-24,2.04,2.04,2.04,2.04,5
2014-02-25,2.04,2.04,2.04,2.04,5
2014-02-26,2.04,2.04,2.04,2.04,5
2014-02-27,2.04,2.04,2.04,2.04,5
2014-02-28,2.04,2.04,2.04,2.04,5
2014-03-03,2.04,2.04,2.03,2.03,22
2014-03-04,2.03,2.03,2,2,10
2014-03-07,1.96,1.96,1.57,1.57,95
2014-03-17,1.57,1.57,1.32,1.32,1720
2014-03-18,1.38,1.38,1.16,1.16,400
2014-03-19,1.18,1.41,1.17,1.41,1060
2014-03-20,1.45,1.45,1.45,1.45,10
2014-03-21,1.45,1.45,1.27,1.27,1825
