Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-04-08,9.974,11.569,9.216,9.216,8412
2013-04-09,10.093,10.126,8.1545,10.126,12900
2013-04-10,9.576,10.213,7.6599,7.6599,4056
2013-04-11,6.3832,7.58,6.2316,7.3327,11114
2013-04-12,7.1572,7.1572,5.8725,6.3752,2489
2013-04-15,6.455,6.455,5.5853,5.5853,6509
2013-04-17,5.9028,6.1625,5.1931,5.5826,6433
2013-04-18,5.6651,6.1039,5.6651,5.9045,103
2013-04-19,5.7448,6.0401,4.8033,5.9762,7035
2013-04-22,5.9762,5.9762,5.5853,5.8966,4261
2013-04-23,5.8805,6.1837,4.7954,5.6651,66124
2013-04-24,5.6651,5.6651,5.5853,5.5853,26
2013-04-29,5.5055,5.7448,5.5055,5.7448,54
2013-04-30,5.7471,6.1798,5.7471,6.1798,577
2013-05-02,6.1798,6.1798,6.1798,6.1798,5
2013-05-06,6.1837,6.1837,5.5773,5.7049,381
2013-05-08,5.5047,5.5047,5.5047,5.5047,1
2013-05-09,5.7037,5.7037,5.4874,5.4874,301
2013-05-10,5.6605,5.6605,5.6605,5.6605,1
2013-05-13,5.6651,5.7049,5.5055,5.5055,1234
2013-05-14,5.4258,5.4258,5.3459,5.3459,39
2013-05-15,5.2661,5.2661,5.1385,5.2661,727
2013-05-16,5.1066,5.2661,4.9868,5.2661,143
2013-05-21,5.2661,5.2661,5.2661,5.2661,103
2013-05-22,5.2661,5.3459,5.1624,5.1624,665
2013-05-24,5.1066,5.1066,4.8728,5.0287,457
2013-05-28,5.0287,5.0287,5.0287,5.0287,125
2013-05-29,5.0287,5.1066,5.0287,5.1066,201
2013-05-31,4.7776,5.5393,4.7776,5.5393,1124
2013-06-03,5.6259,5.6259,5.6259,5.6259,1
2013-06-05,5.6259,5.799,5.5653,5.5653,532
2013-06-10,5.6259,5.8855,5.6259,5.8855,139
2013-06-11,5.9202,5.9202,5.9202,5.9202,285
2013-06-12,5.9202,5.9202,5.9202,5.9202,4
2013-06-13,5.9115,5.9115,5.9115,5.9115,4
2013-06-14,5.9115,5.9115,5.6345,5.7124,1335
2013-06-18,5.7557,5.7557,5.7557,5.7557,1
2013-06-19,5.7557,5.7903,5.7557,5.7903,18
2013-06-20,5.7903,5.9202,5.7903,5.9202,142
2013-06-21,5.9202,5.9202,5.9202,5.9202,4
2013-06-24,5.9202,5.9202,5.6259,5.9202,118
2013-06-25,5.9202,5.9202,5.3316,5.9202,322
2013-06-26,5.9202,5.9202,5.5393,5.5653,263
2013-07-05,5.5826,5.5826,5.5826,5.5826,6
2013-07-08,5.6259,5.6259,5.6259,5.6259,1
2013-07-09,5.3662,5.574,5.1066,5.2797,1611
2013-07-11,5.2797,5.2797,5.2797,5.2797,239
2013-07-15,5.1931,5.2797,5.1931,5.2797,13
2013-07-17,5.2797,5.2797,5.0374,5.1585,320
2013-07-18,5.1585,5.1585,5.1585,5.1585,5
2013-07-22,5.02,5.1671,4.9162,5.1671,319
2013-07-23,5.1066,5.1066,4.5873,4.5873,186
2013-07-24,4.5873,4.6305,4.3362,4.3362,373
2013-08-01,4.3276,4.3535,3.4621,4.3535,1050
2013-08-02,3.8948,3.9814,3.8948,3.9814,451
2013-08-05,4.0247,4.0679,4.0247,4.0679,13
2013-08-06,4.0679,4.0679,4.0679,4.0679,5
2013-08-07,4.0679,4.0679,4.0679,4.0679,12
2013-08-08,4.0679,4.0679,4.0679,4.0679,12
2013-08-09,4.0679,4.0679,4.0679,4.0679,32
2013-08-12,4.0679,4.0679,4.0679,4.0679,13
2013-08-13,4.0679,4.0679,3.8516,3.9554,397
2013-08-14,3.8948,3.8948,3.8948,3.8948,12
2013-08-16,3.8948,3.9814,3.7217,3.7217,318
2013-08-19,4.1545,4.2238,4.1545,4.2238,393
2013-08-20,4.241,4.241,4.2323,4.2323,360
2013-08-21,4.2238,4.4574,4.0592,4.4574,776
2013-08-22,4.4488,5.1931,4.4488,5.1931,1276
2013-08-23,4.9335,4.9335,4.6738,4.6738,855
2013-08-26,4.6738,4.7604,4.6738,4.7604,347
2013-08-27,4.57,5.2797,4.57,4.7604,5523
2013-08-28,4.7604,4.8469,4.518,4.518,3299
2013-08-29,4.5873,5.2797,4.5873,5.2797,1891
2013-08-30,5.271,5.6259,5.271,5.6259,1473
2013-09-02,5.4614,5.6259,5.3489,5.3489,567
2013-09-03,5.2797,5.2797,5.0287,5.0287,1646
2013-09-04,5.0287,5.0287,5.0287,5.0287,24
2013-09-06,5.0546,5.0633,4.5526,5.0633,625
2013-09-10,5.0633,5.1931,5.0633,5.1931,92
2013-09-12,5.1931,5.4095,5.1931,5.2018,348
2013-09-13,4.994,4.994,4.9421,4.9421,461
2013-09-16,4.9421,5.046,4.9421,5.046,673
2013-09-18,5.0633,5.1411,5.0633,5.1411,116
2013-09-23,4.9335,4.9335,4.8469,4.8556,2600
2013-09-24,4.8469,4.8469,4.7171,4.7171,347
2013-09-25,4.6825,4.6825,4.6825,4.6825,223
2013-09-30,4.6825,4.6825,4.6825,4.6825,231
2013-10-08,4.6738,4.6738,4.5007,4.5007,24
2013-10-16,4.544,4.544,4.544,4.544,1071
2013-10-17,4.5093,4.5266,4.5093,4.5266,52
2013-10-18,4.5873,4.6911,4.5873,4.6911,46
2013-10-24,4.5353,4.5353,4.5353,4.5353,335
2013-10-28,4.5093,4.5093,4.5093,4.5093,347
2013-10-29,4.5093,4.5093,4.5093,4.5093,29
2013-10-30,4.5093,4.5093,4.5093,4.5093,381
2013-11-12,4.544,4.8469,4.544,4.8469,127
2013-11-13,4.6825,4.7604,4.6825,4.7604,427
2013-11-15,4.6825,4.6825,4.6825,4.6825,1155
2013-11-29,4.6738,4.6738,4.5526,4.5526,359
2013-12-02,4.5007,4.5007,3.6352,3.6352,1086
2013-12-03,3.7217,3.9814,2.986,3.4621,1883
2013-12-06,3.5053,4.0247,3.5053,4.0247,301
2013-12-09,3.8948,3.8948,3.7044,3.7217,445
2013-12-12,3.7217,3.7909,3.7217,3.7909,474
2013-12-16,3.8083,3.8688,3.8083,3.8688,162
2013-12-19,3.6352,3.6352,3.6178,3.6178,104
2013-12-23,3.8256,3.8256,3.8256,3.8256,5
2014-01-14,3.8948,4.544,3.8948,4.544,1115
2014-01-15,4.5873,5.3662,4.5873,5.02,777
2014-01-16,5.02,5.02,5.02,5.02,583
2014-01-20,5.02,5.02,5.02,5.02,4
2014-01-22,5.02,5.0979,4.0247,4.1545,723
2014-01-23,4.1545,4.6738,4.1545,4.6738,24
2014-01-24,4.6738,4.7344,4.6738,4.6738,1665
2014-01-27,4.6738,4.6738,4.6738,4.6738,58
2014-01-28,4.6738,4.8469,4.6738,4.8469,624
2014-01-29,4.8902,5.0633,4.8902,5.0633,905
2014-01-30,5.1066,5.1931,5.1066,5.1931,13
2014-02-04,5.02,5.02,4.9335,4.9335,2341
2014-02-13,4.8902,4.8902,4.3276,4.3276,578
2014-02-14,4.5007,4.8469,4.5007,4.8469,554
2014-02-17,4.8469,5.02,4.6997,4.6997,275
2014-02-20,4.5873,4.5873,4.518,4.518,347
2014-02-24,4.5007,4.5007,4.3709,4.3709,578
2014-03-11,4.4141,4.4401,4.4141,4.4401,231
2014-03-31,4.4574,4.5613,4.7645,4.4141,1568
2014-04-01,4.5873,5.4528,4.9513,5.4095,1108
2014-04-02,5.2797,6.0499,5.6987,5.8855,6676
2014-04-03,6.3526,7.0066,6.0724,6.0724,506
2014-04-04,6.3526,6.3526,6.3526,6.3526,80
2014-04-07,5.4184,5.5118,5.4184,5.4184,120
2014-04-08,5.2316,5.2316,4.6711,4.6711,145
2014-04-09,4.7645,4.7645,4.7645,4.7645,12
2014-04-10,4.7645,4.7645,4.6711,4.6711,22
2014-04-14,4.6711,4.6711,4.6711,4.6711,4
2014-04-15,4.5776,4.5776,4.4655,4.4655,161
2014-04-16,4.4375,4.5309,4.4375,4.5309,339
2014-04-17,4.5776,4.8766,4.5776,4.8766,321
2014-04-28,4.8766,4.8766,4.6711,4.6711,98
2014-04-29,4.5776,4.5776,4.2039,4.2039,330
2014-04-30,4.2039,4.4375,4.2039,4.4375,161
2014-05-05,4.2974,4.2974,3.7368,4.0171,1017
2014-05-06,4.0171,4.0171,3.5593,3.8957,2015
2014-05-12,3.6434,3.7368,3.522,3.7368,246
2014-05-14,3.8303,3.9891,3.8303,3.9891,64
2014-05-15,4.0171,4.1012,4.0171,4.1012,59
2014-05-21,4.1012,4.1012,4.1012,4.1012,2
2014-05-23,4.1105,4.1105,4.1105,4.1105,11
2014-05-27,3.9704,4.1572,3.877,4.1572,1518
2014-06-02,4.1572,4.1572,4.1572,4.1572,5
2014-06-10,4.2039,4.2039,4.2039,4.2039,107
2014-06-16,4.2039,4.2039,4.2039,4.2039,16
2014-06-17,4.1105,4.1105,4.1105,4.1105,477
2014-06-18,4.2974,4.3908,4.2974,4.3908,64
2014-06-26,4.2039,4.2039,4.1199,4.1199,107
2014-06-27,4.1199,4.2974,4.1199,4.2974,59
2014-06-30,4.2974,4.2974,4.2974,4.2974,11
2014-07-01,4.2974,4.2974,4.2974,4.2974,5
2014-07-02,4.2974,4.2974,4.2974,4.2974,5
2014-07-03,4.2974,4.2974,4.2974,4.2974,11
2014-07-04,4.2974,4.3908,4.2039,4.3908,155
2014-07-23,4.3908,4.5496,4.3908,4.5496,64
2014-07-30,4.0171,4.5776,4.0171,4.5776,343
2014-07-31,4.2974,4.2974,4.1292,4.1292,375
2014-08-01,4.1105,4.2039,4.0171,4.2039,385
2014-08-04,4.0171,4.0171,4.0171,4.0171,11
2014-08-05,4.0171,4.0171,4.0171,4.0171,123
2014-08-06,3.9237,3.9237,3.9237,3.9237,557
2014-08-12,3.877,3.877,3.877,3.877,16
2014-08-13,3.877,3.877,3.877,3.877,16
2014-08-14,3.877,3.877,3.877,3.877,16
2014-08-18,3.877,4.1105,3.877,4.1105,15
2014-08-19,4.0171,4.0171,4.0171,4.0171,454
2014-08-20,4.0171,4.1105,3.877,4.1105,241
2014-09-05,3.9237,3.9237,3.9237,3.9237,161
2014-09-09,3.877,3.877,3.7275,3.7368,268
2014-09-10,3.7368,3.7368,3.7368,3.7368,161
2014-09-15,3.7368,4.2974,3.7368,4.2974,755
2014-09-16,3.9237,4.1105,3.6901,4.1105,728
2014-09-17,4.1105,4.1105,4.1105,4.1105,6
2014-09-18,3.8303,3.8303,3.6434,3.6434,568
2014-09-19,3.55,3.55,3.4566,3.4566,70
2014-09-24,3.4099,3.4099,3.4099,3.4099,11
2014-09-25,3.4099,3.4099,3.4099,3.4099,32
2014-09-26,3.4099,3.4099,3.4099,3.4099,11
2014-09-29,3.4099,3.4099,3.4099,3.4099,11
2014-09-30,3.4099,3.4099,3.4099,3.4099,11
2014-10-01,3.4099,3.4099,3.4099,3.4099,193
2014-10-02,3.3632,3.3632,3.3164,3.3164,27
2014-10-03,3.2697,3.2697,3.2697,3.2697,11
2014-10-06,3.3258,3.3258,3.3258,3.3258,37
2014-10-07,3.3258,3.3258,3.3164,3.3164,498
2014-10-08,3.1763,3.1763,3.1763,3.1763,21
2014-10-09,3.1763,3.1763,2.8961,2.8961,830
2014-10-10,2.8026,3.1016,2.8026,2.8026,541
2014-10-13,3.0829,3.5967,2.9334,3.5967,724
2014-10-14,3.5967,3.6247,3.1763,3.1763,947
2014-10-16,3.1763,3.7836,3.0829,3.7836,883
2014-10-20,3.7836,4.0171,3.7368,4.0171,33
2014-10-22,4.0171,4.26,4.0171,4.26,138
2014-10-23,4.2039,4.2039,4.2039,4.2039,60
2014-10-24,4.2039,4.2039,3.7368,3.7368,503
2014-10-27,3.7368,3.7368,3.7368,3.7368,43
2014-10-28,3.7368,3.7368,3.7368,3.7368,107
2014-10-29,3.6434,3.6434,3.6434,3.6434,5
2014-10-30,3.8303,3.9891,3.8303,3.9891,396
2014-10-31,3.6434,3.6434,3.55,3.55,546
2014-11-03,3.4566,3.4566,3.4566,3.4566,11
2014-11-04,3.4566,3.4566,3.2697,3.2697,428
2014-11-05,3.223,3.223,3.223,3.223,11
2014-11-07,3.223,3.2417,3.223,3.2417,225
2014-11-12,3.223,3.223,3.1763,3.1857,305
2014-11-13,3.1763,3.1763,3.1763,3.1763,37
2014-11-14,3.1857,3.1857,3.1857,3.1857,476
2014-11-17,3.1763,3.1763,2.9895,2.9895,182
2014-11-18,3.0082,3.3351,3.0082,3.3351,781
2014-11-20,3.3632,3.4472,3.3632,3.4472,460
2014-11-24,3.3632,3.3632,3.3632,3.3632,5
2014-11-25,3.3632,3.3632,3.3164,3.3351,225
2014-11-26,3.3632,3.3632,3.3632,3.3632,11
2014-11-27,3.3632,3.3632,3.3632,3.3632,161
2014-11-28,3.3632,3.3632,3.3632,3.3632,364
2014-12-01,2.8026,3.3632,2.8026,3.3632,1691
2014-12-02,2.9895,2.9895,2.8587,2.8587,32
2014-12-03,2.8961,2.8961,2.812,2.8493,247
2014-12-04,2.812,2.9895,2.8026,2.8961,1060
2014-12-05,2.8026,2.8026,2.7092,2.7092,118
2014-12-08,2.7279,2.7279,2.7092,2.7092,546
2014-12-09,2.6158,2.7092,2.4476,2.5224,450
2014-12-10,2.5224,2.5411,2.5224,2.5411,32
2014-12-11,2.4383,2.4383,2.4383,2.4383,21
2014-12-12,2.4289,2.5971,2.3355,2.5971,278
2014-12-15,2.6158,2.7559,2.6158,2.7559,54
2014-12-16,2.5971,2.8774,2.5691,2.8774,567
2014-12-18,2.8493,2.8774,2.8493,2.8774,21
2014-12-30,2.9895,3.1389,2.6158,2.6625,808
2015-01-07,2.8026,2.8026,2.8026,2.8026,209
2015-01-08,2.8026,2.8026,2.8026,2.8026,21
2015-01-09,2.812,2.812,2.812,2.812,11
2015-01-12,2.8961,2.9428,2.8026,2.8493,428
2015-01-13,2.9895,2.9988,2.9895,2.9988,198
2015-01-19,2.9895,2.9895,2.9895,2.9895,5
2015-01-22,3.0829,3.0829,3.0829,3.0829,11
2015-01-23,3.1296,3.1296,3.1296,3.1296,11
2015-01-30,3.2697,3.2697,3.2697,3.2697,11
2015-02-04,3.2697,3.2697,3.2697,3.2697,16
2015-02-06,3.2697,3.2697,3.2697,3.2697,5
2015-02-10,3.2697,3.3164,3.2697,3.3164,11
2015-02-11,3.1763,3.1763,2.9895,3.0829,674
2015-02-16,3.0829,3.0829,3.0829,3.0829,11
2015-02-19,3.1763,3.5033,3.1763,3.5033,79
2015-02-23,3.5967,3.5967,3.5967,3.5967,5
2015-02-24,3.6901,3.7368,3.6901,3.7368,16
2015-02-27,3.9237,3.9237,3.9237,3.9237,16
2015-03-03,4.1105,4.2039,4.1105,4.2039,64
2015-03-05,4.2039,4.2039,4.2039,4.2039,5
2015-03-06,4.2133,4.8766,4.2133,4.8766,230
2015-03-09,5.0447,5.6053,5.0447,5.6053,214
2015-03-10,4.6711,4.6711,4.6711,4.6711,29
2015-03-12,4.6711,4.6711,4.6711,4.6711,2
2015-03-13,4.6711,4.7738,4.6711,4.7738,321
2015-03-17,4.9513,4.9513,4.9513,4.9513,21
2015-03-19,5.0447,5.1755,5.0447,5.1755,112
2015-03-20,5.1849,5.1849,5.1849,5.1849,214
2015-03-24,5.1382,5.1382,5.0447,5.0447,61
2015-03-25,4.8579,4.8579,4.8579,4.8579,6
2015-03-26,4.8579,4.8579,4.8486,4.8486,122
2015-03-31,4.8579,5.2316,4.8579,5.2316,75
2015-04-01,5.2316,5.2316,5.2316,5.2316,5
2015-04-02,5.2316,5.2316,5.2316,5.2316,5
2015-04-07,5.2316,5.6053,5.2316,5.6053,332
2015-04-08,5.8855,6.5208,5.8855,6.5208,91
2015-04-09,6.4928,6.4928,5.8855,5.8855,16
2015-04-10,6.0724,6.0724,6.0724,6.0724,54
2015-04-13,6.1658,6.1658,5.7921,5.7921,177
2015-04-14,5.8762,5.8762,5.8762,5.8762,54
2015-04-15,5.8668,5.8668,5.8668,5.8668,5
2015-04-16,5.8668,5.8668,5.8668,5.8668,2
2015-04-17,5.8668,5.8668,5.8668,5.8668,2
2015-04-20,5.8668,5.8668,5.8668,5.8668,2
2015-04-21,5.8668,5.8668,5.8668,5.8668,2
2015-04-22,5.8668,5.8668,5.8668,5.8668,2
2015-04-23,5.8668,5.8668,5.8668,5.8668,3
2015-04-24,5.8575,5.8575,5.8575,5.8575,5
2015-04-28,5.6053,5.6053,5.4932,5.4932,107
2015-04-30,5.325,5.325,5.325,5.325,11
2015-05-11,5.1382,5.1382,4.8766,4.8766,153
2015-05-18,5.0447,5.5118,5.0447,5.5118,86
2015-05-26,5.5118,5.5118,5.5118,5.5118,214
2015-05-27,5.5118,5.5118,5.5118,5.5118,11
2015-05-28,5.6146,5.6146,5.6146,5.6146,107
2015-05-29,5.4184,5.4184,5.4184,5.4184,5
2015-06-08,5.4184,5.4184,5.3157,5.3157,102
2015-06-09,5.2316,5.2316,5.2316,5.2316,11
2015-06-12,5.4184,5.5118,5.1755,5.1755,134
2015-06-18,5.1382,5.1382,4.6711,4.6711,166
2015-06-19,4.5776,4.5776,4.5589,4.5589,123
2015-06-29,4.3908,4.3908,4.288,4.288,21
2015-06-30,4.1105,4.1105,4.0638,4.0638,16
2015-07-01,4.0171,4.0171,3.9704,3.9704,16
2015-07-02,3.9424,3.9424,3.1763,3.1763,219
2015-07-03,3.1763,3.1763,3.1763,3.1763,22
2015-07-06,3.0829,3.0829,2.8026,2.8026,535
2015-07-07,2.8026,2.8026,2.8026,2.8026,11
2015-07-08,2.8026,2.8026,2.8026,2.8026,332
2015-07-09,2.8026,2.8493,2.8026,2.8493,21
2015-07-10,2.8493,3.1857,2.8493,3.1857,396
2015-07-16,3.195,3.195,3.195,3.195,5
2015-07-17,3.2697,3.4566,3.2043,3.2043,654
2015-07-22,3.2697,3.3632,3.0829,3.1763,198
2015-07-23,3.3632,3.3818,3.1763,3.223,177
2015-07-24,3.2697,3.2697,3.1763,3.1763,776
2015-07-27,3.0922,3.0922,3.0829,3.0829,601
2015-07-28,3.0829,3.0829,3.0829,3.0829,26
2015-07-29,3.0829,3.0829,2.9054,2.9428,163
2015-07-30,2.9428,2.9428,2.9428,2.9428,11
2015-07-31,2.9428,2.9428,2.9428,2.9428,11
2015-08-03,2.9428,2.9428,2.9428,2.9428,11
2015-08-04,2.9428,2.9428,2.9428,2.9428,11
2015-08-05,2.9428,2.9428,2.9428,2.9428,11
2015-08-06,2.9428,2.9428,2.9428,2.9428,11
2015-08-07,2.9428,2.9428,2.9428,2.9428,11
2015-08-10,2.9428,2.9428,2.9428,2.9428,11
2015-08-11,2.9428,2.9428,2.9428,2.9428,11
2015-08-12,2.9428,2.9428,2.9428,2.9428,11
2015-08-13,2.9428,2.9428,2.9428,2.9428,11
2015-08-14,2.9428,2.9428,2.9428,2.9428,11
2015-08-17,2.9428,2.9428,2.9428,2.9428,11
2015-08-18,2.9521,2.9521,2.9428,2.9428,726
2015-08-20,2.9428,2.9428,2.9428,2.9428,11
2015-08-21,2.9428,2.9428,2.9428,2.9428,11
2015-08-24,2.9428,2.9428,2.9428,2.9428,11
2015-08-25,2.9428,2.9428,2.9428,2.9428,11
2015-08-26,2.9428,2.9428,2.9428,2.9428,16
2015-08-27,2.9428,2.9428,2.9428,2.9428,11
2015-08-28,2.9428,2.9428,2.9428,2.9428,11
2015-08-31,2.9428,3.1203,2.9428,3.1203,82
2015-09-18,3.0829,3.0829,2.9895,2.9895,145
2015-09-21,2.9895,2.9895,2.9895,2.9895,11
2015-09-23,3.0362,3.0362,3.0362,3.0362,11
2015-09-24,3.0362,3.0362,3.0362,3.0362,11
2015-09-25,3.0362,3.0362,3.0362,3.0362,11
2015-09-28,3.0362,3.1763,3.0362,3.1763,209
2015-10-01,3.1763,3.2697,3.1763,3.2697,171
2015-10-02,3.2697,3.2697,3.2697,3.2697,11
2015-10-05,3.2697,3.2697,3.2697,3.2697,5
2015-10-06,3.2697,3.2697,3.2697,3.2697,5
2015-10-07,3.2697,3.2697,3.2697,3.2697,5
2015-10-08,3.2697,3.2697,3.2697,3.2697,5
2015-10-09,3.2697,3.2697,3.2697,3.2697,5
2015-10-12,3.2697,3.2697,3.2697,3.2697,5
2015-10-13,3.2697,3.55,3.2697,3.55,170
2015-10-14,3.5967,3.5967,3.5967,3.5967,5
2015-10-15,3.5967,3.5967,3.5967,3.5967,5
2015-10-16,3.5967,3.877,3.5967,3.877,154
2015-10-19,3.877,3.877,3.877,3.877,5
2015-10-20,3.877,3.877,3.877,3.877,5
2015-10-21,3.877,3.877,3.877,3.877,5
2015-10-22,3.877,3.877,3.877,3.877,5
2015-10-23,3.877,3.877,3.877,3.877,5
2015-10-26,3.877,3.877,3.877,3.877,323
2015-10-27,3.877,3.877,3.8303,3.8303,776
2015-10-28,3.8303,3.8303,3.8303,3.8303,5
2015-10-29,3.8303,3.8303,3.8303,3.8303,5
2015-10-30,3.8303,3.8303,3.8303,3.8303,5
2015-11-02,3.8303,3.8303,3.8303,3.8303,5
2015-11-03,3.8303,3.8303,3.8303,3.8303,5
2015-11-04,3.8303,3.8303,3.8303,3.8303,5
2015-11-05,3.8303,3.8303,3.8303,3.8303,5
2015-11-06,3.8303,3.8303,3.8303,3.8303,5
2015-11-09,3.8303,3.8303,3.8303,3.8303,5
2015-11-10,3.8303,3.8303,3.8303,3.8303,283
2015-11-16,3.8303,3.8303,3.8303,3.8303,253
2015-11-17,3.8303,3.8303,3.8303,3.8303,5
2015-11-18,3.8303,3.8303,3.8303,3.8303,5
2015-11-19,3.8396,3.8396,3.8396,3.8396,5
2015-11-20,3.8396,3.8396,3.8396,3.8396,5
2015-11-23,3.8396,3.8396,3.8396,3.8396,5
2015-11-24,3.8396,3.8396,3.8396,3.8396,5
2015-11-25,3.877,3.9237,3.877,3.9237,16
2015-11-26,3.9704,3.9704,3.9704,3.9704,2
2015-11-27,3.9704,3.9704,3.9704,3.9704,2
2015-11-30,3.9704,3.9704,3.9704,3.9704,2
2015-12-01,3.9797,3.9797,3.9797,3.9797,3
2015-12-02,3.9797,3.9797,3.9797,3.9797,2
2015-12-03,3.9797,3.9797,3.9797,3.9797,2
2015-12-04,3.9797,3.9797,3.9797,3.9797,2
2015-12-07,3.9797,3.9797,3.9797,3.9797,2
2015-12-08,3.9797,3.9797,3.9797,3.9797,2
2015-12-09,3.9797,3.9797,3.9797,3.9797,2
2015-12-10,3.9797,4.3254,3.9797,4.3254,34
2015-12-11,4.3441,4.3441,4.3441,4.3441,2
2015-12-14,4.3441,4.3441,4.3441,4.3441,2
2015-12-15,4.3441,4.3441,4.3441,4.3441,2
2015-12-16,4.3441,4.3441,4.3441,4.3441,2
2015-12-17,4.3441,4.3441,4.3441,4.3441,2
2015-12-18,4.3441,4.3441,4.3441,4.3441,2
2015-12-21,4.3908,4.3908,4.3908,4.3908,2
2015-12-22,4.4842,4.4842,4.4842,4.4842,2
2015-12-23,4.4842,4.4842,4.4842,4.4842,2
2015-12-28,4.4842,4.4842,4.4842,4.4842,2
2015-12-29,4.4842,4.4842,4.4842,4.4842,2
2015-12-30,4.4842,4.4842,4.4842,4.4842,2
2016-01-11,4.5309,4.5309,4.5309,4.5309,2
2016-01-12,4.5309,4.5309,4.5309,4.5309,2
2016-01-13,4.5309,4.5309,4.5309,4.5309,2
2016-01-14,4.5309,4.5309,4.5309,4.5309,1
2016-01-15,4.5309,4.5309,4.5309,4.5309,1
2016-01-18,4.5309,4.5309,4.5309,4.5309,1
2016-01-19,4.5309,4.5309,4.5309,4.5309,204
2016-01-25,4.5309,4.5309,4.5309,4.5309,535
2016-01-26,4.4842,4.4842,4.4842,4.4842,535
2016-01-27,4.4842,4.4842,4.4842,4.4842,1070
2016-01-28,4.4842,4.4842,4.4842,4.4842,535
2016-02-01,4.4842,4.4842,4.4842,4.4842,535
2016-02-02,4.4842,4.4842,4.4842,4.4842,557
2016-02-04,4.4842,4.4842,4.4842,4.4842,1070
2016-02-08,4.4842,4.4842,4.4375,4.4375,2194
2016-02-10,4.4375,4.4375,4.4375,4.4375,1092
2016-02-11,4.4375,4.4375,4.4375,4.4375,5
2016-02-12,4.4375,4.4375,4.4375,4.4375,48
2016-02-17,4.5776,4.5776,4.5776,4.5776,1
2016-02-23,4.3908,4.3908,4.3908,4.3908,11
2016-03-02,4.3908,4.3908,4.3908,4.3908,1070
2016-04-07,4.2974,4.2974,4.2039,4.2039,166
2016-04-26,4.2974,4.2974,4.2974,4.2974,11
2016-04-27,4.2974,4.2974,4.2974,4.2974,2
2016-04-28,4.2974,4.2974,4.2974,4.2974,11
2016-04-29,4.2974,4.2974,4.2974,4.2974,11
2016-05-11,4.2974,4.2974,4.2974,4.2974,2
2016-05-25,4.1105,4.1105,4.1105,4.1105,11
2016-06-02,4.1105,4.1105,3.7368,3.7368,289
2016-06-09,3.6434,3.6434,3.6341,3.6341,187
2016-06-23,3.4566,3.4566,3.4566,3.4566,165
2016-06-30,3.3632,3.3632,3.3164,3.3164,241
2016-08-16,3.4099,3.4099,3.4099,3.4099,37
2016-08-22,3.4099,3.4099,3.4099,3.4099,11
2016-09-01,3.4099,3.4099,3.4099,3.4099,29
2016-09-08,3.223,3.223,3.1296,3.1296,257
2016-10-03,3.223,3.8676,3.223,3.8676,250
2016-10-04,3.9237,4.7084,3.9237,4.7084,273
2016-10-05,4.7645,5.7174,4.7645,5.7174,280
2016-10-06,5.8855,7.4737,5.8855,7.4737,257
2016-10-07,7.7539,9.0618,7.7539,9.0618,45
2016-10-10,9.0618,9.0618,8.0716,8.1743,283
2016-10-11,7.9875,7.9875,5.325,6.0724,254
2016-10-12,4.8579,4.9046,4.0171,4.0358,389
2016-10-26,4.1386,4.1386,4.1386,4.1386,11
2016-10-27,3.9704,4.1292,3.9237,4.1292,43
2016-11-02,4.2039,4.2039,4.2039,4.2039,57
2016-11-03,4.2039,4.2039,4.2039,4.2039,11
2016-11-04,4.2039,4.2039,4.2039,4.2039,3
2016-11-07,4.2039,4.2039,4.2039,4.2039,96
2016-11-08,4.2039,4.2039,4.2039,4.2039,11
2016-11-09,4.2039,4.2039,4.2039,4.2039,11
2016-11-10,4.2039,4.2039,4.2039,4.2039,11
2016-11-14,4.2039,4.2039,4.2039,4.2039,11
2016-11-15,4.2039,4.2039,4.2039,4.2039,11
2016-11-16,4.2039,4.2039,4.2039,4.2039,11
2016-11-17,4.2039,4.2039,4.2039,4.2039,11
2016-11-18,4.2039,4.2039,4.2039,4.2039,11
2016-11-21,4.2039,4.2039,4.2039,4.2039,11
2016-11-22,4.2039,4.2039,4.2039,4.2039,11
2016-11-23,4.2039,4.2039,4.2039,4.2039,11
2016-11-24,4.2039,4.2039,4.2039,4.2039,11
2016-11-25,4.2039,4.2039,3.7368,3.7929,1060
2016-11-28,3.7929,4.2974,3.7929,4.2974,877
2016-11-30,4.3908,4.4468,4.3908,4.4468,241
2016-12-01,4.4468,4.4468,4.4468,4.4468,11
2016-12-02,4.4468,4.4468,4.4468,4.4468,11
2016-12-05,4.4468,4.4468,4.4468,4.4468,5
2016-12-07,4.5776,5.1382,4.5776,5.1382,1729
2016-12-08,5.1382,5.1382,5.1382,5.1382,11
2016-12-09,5.1382,5.1382,5.1382,5.1382,11
2016-12-12,5.1382,5.1382,5.1382,5.1382,11
2016-12-13,5.1382,5.1382,5.1382,5.1382,11
2016-12-14,5.1382,5.1382,5.1382,5.1382,5
2016-12-15,5.1382,5.1382,5.1382,5.1382,4
2016-12-16,5.1382,5.1382,5.1382,5.1382,11
2016-12-19,5.1382,5.1382,4.6711,4.6711,648
2016-12-29,4.6711,4.6711,4.6711,4.6711,1070
2017-01-18,4.5776,4.5776,4.5029,4.5029,37
2017-01-20,4.5776,4.6711,4.5776,4.6711,241
2017-02-20,4.6711,4.6711,4.6711,4.6711,11
